Metric,Median,Mean,Std Dev
changed_files,2.0,25.86759805927398,422.95143829709616
additions,17.0,1284.6541766528321,38894.614494527355
deletions,3.0,1043.4349096860933,23586.24111282335
total_lines,27.0,2328.0890863389254,46248.60210383786
analysis_time_hours,37.31,900.4310633074182,3944.150628367619
body_length,497.0,1032.7726661600514,1809.1744493803194
participants,2.0,2.9541123516689076,4.3894435759922725
comments,1.0,2.6019757993803707,8.293427848029854
review_count,1.0,2.6598468463202196,4.316701180815963
